,Title,Summary,Date,Time,Link
10,Rupee hits fresh record low of 76.15 against dollar,The rupee on Monday hit fresh alltime low of 7615 against the US dollar as forex market continued to grapple with economic uncertainties due to the fastspreading coronavirus pandemicSustained selling by foreign portfolio investors FPIs and subdued equity markets further weighed market sentiment It had touched a lifetime high of 48723 billion in the week to March 6 after it rose 569 billion We expect the rupee Spot to quote in the range of 7580 and 7680” Motilal Oswal Financial Services saidDollar also strengthened against its major crosses following safehaven buying after a sharp surge of reported cases in the US The Federal Reserve had already set up dollar swap lines with the ECB BoJ and BoE when the coronavirus crisis bit seriously into markets The move means it can provide dollars directly to local central banks in exchange for local currency in a bid to increase the availability of dollars in those local markets,23-03-2020,09:35:00,https://news.google.com/articles/CBMif2h0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9tYXJrZXRzL2ZvcmV4L3J1cGVlLWhpdHMtZnJlc2gtcmVjb3JkLWxvdy1vZi03Ni0xNS1hZ2FpbnN0LWRvbGxhci9hcnRpY2xlc2hvdy83NDc2NzY0MS5jbXPSAXpodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9mb3JleC9ydXBlZS1oaXRzLWZyZXNoLXJlY29yZC1sb3ctb2YtNzYtMTUtYWdhaW5zdC1kb2xsYXIvYW1wX2FydGljbGVzaG93Lzc0NzY3NjQxLmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
11,Rupee hits all-time low; breaches 76-mark against US dollar,The rupee on Monday fell below 76 level against US dollar as major economic hubs in the country face lockdown from today The rupee opened 50 paise lower on the interbank forex market at 7568 and treaded lower to crash by 96 paise to 7614 before partially recovering At the time of filing this copy domestic currency was trading at 7598 down 80 paise against the US dollar At the interbank foreign exchange market the domestic currency opened higher at 7482 on Friday and gained more strength as the day progressed The domestic unit had closed at 7512 against the US currency on Thursday,23-03-2020,10:20:11,https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vYnVzaW5lc3MvYnVzaW5lc3MtbmV3cy9ydXBlZS1oaXRzLWFsbC10aW1lLWxvdy1icmVhY2hlcy03Ni1tYXJrLWFnYWluc3QtdXMtZG9sbGFyLTgxNjY0NC5odG1s0gF-aHR0cHM6Ly93d3cuZGVjY2FuaGVyYWxkLmNvbS9hbXAvYnVzaW5lc3MvYnVzaW5lc3MtbmV3cy9ydXBlZS1oaXRzLWFsbC10aW1lLWxvdy1icmVhY2hlcy03Ni1tYXJrLWFnYWluc3QtdXMtZG9sbGFyLTgxNjY0NC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
12,"Maruti Suzuki suspends production at Gurgaon, Manesar plants due to coronavirus",New Delhi Maruti Suzuki India Ltd country’s largest vehicle manufacturer on Sunday announced its decision to stop manufacturing vehicles in the two factories located in Haryana indefinitely Work at the research and development centre in Rohtak will also be stopped from tomorrow “The government policy now requires closure of production and accordingly the company has taken a decision on production closure The company will shut production and office operations at its facilities in Gurugram and Manesar Haryana with immediate effect till further notice None of the plants are working on Sunday March 22 2020said Mahindra and Manhindra in a regulatory filing on Sunday,22-03-2020,17:16:48,https://news.google.com/articles/CBMiigFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvbWFydXRpLXN1enVraS1zdXNwZW5kcy1wcm9kdWN0aW9uLWF0LWd1cmdhb24tbWFuZXNhci1wbGFudHMtZHVlLXRvLWNvcm9uYXZpcnVzLTExNTg0ODc3NDMzODkzLmh0bWzSAY4BaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9uZXdzL21hcnV0aS1zdXp1a2ktc3VzcGVuZHMtcHJvZHVjdGlvbi1hdC1ndXJnYW9uLW1hbmVzYXItcGxhbnRzLWR1ZS10by1jb3JvbmF2aXJ1cy9hbXAtMTE1ODQ4Nzc0MzM4OTMuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
13,"Maruti Suzuki, Hero, Tata, Bajaj Announces Plant Closure Due To COVID-19",“The company will shut production and office operations at its facilities in Gurugram and Manesar Haryana with immediate effect till further notice” MSI said in a regulatory filing Maruti Suzuki is however not the only manufacturer that has seized its operations in light of the global pandemic Ahead of this Tata motors in an official statement announced that it will close down the Pune plants by end Tuesday or March 24 to March 31 Similarly Mahindra and Mahindra also announced that it would suspend operations at its Nagpur Plant with immediate effect and Chakan Pune and Kandivali Mumbai from Monday night onwards We standby them during this tough phase and urge everyone to take all possible measures to prevent COVID19 from spreading further,22-03-2020,14:30:11,https://news.google.com/articles/CBMiXWh0dHBzOi8vZ2FhZGl3YWFkaS5jb20vbWFydXRpLXN1enVraS1oZXJvLXRhdGEtYmFqYWotYW5ub3VuY2VzLXBsYW50LWNsb3N1cmUtZHVlLXRvLWNvdmlkLTE5L9IBYWh0dHBzOi8vZ2FhZGl3YWFkaS5jb20vbWFydXRpLXN1enVraS1oZXJvLXRhdGEtYmFqYWotYW5ub3VuY2VzLXBsYW50LWNsb3N1cmUtZHVlLXRvLWNvdmlkLTE5L2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen
14,"Coronavirus impact: Maruti Suzuki suspends production at Gurugram, Manesar plants",Photo for representative purpose onlyMore on Covid19Download The Times of India News App for Latest City NewsSubscribe Start Your Daily Mornings with Times of India Newspaper Order NowGURUGRAM The countrys largest car maker Maruti Suzuki India MSI on Sunday said it will suspend production at its manufacturing facilities in Haryana due to the coronavirus outbreak The company will shut production and office operations at its facilities in Gurugram and Manesar Haryana with immediate effect till further notice MSI said in a regulatory filingThe companys research and development centre at Rohtak will also remain closed it addedThe duration of this shutdown will depend upon government policy MSI saidThe companys two plants in Haryana  Manesar and Gurgaon  churn out 155 lakh vehicles per annum,,,https://news.google.com/articles/CAIiEKqaOcgoWPwwzJa2NP8nKcIqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
15,"COVID-19: From Honda to Toyota, automakers shut manufacturing units in India",COVID19 From Honda to Toyota automakers shut manufacturing units in IndiaAll automakers have said that the duration of the shutdown will depend upon government policy Money CoronavirusAutomobile manufacturers in the country have suspended operations across their manufacturing units as the coronavirus cases in India increase Twowheeler major Honda Motorcycle  Scooter India on Sunday announced temporarily shutdown of operations across all its four manufacturing plants with immediate effect till further notice Its manufacturing units in Chakan Pune and Kandivali Mumbai will suspend manufacturing operations from Monday night The Japanese automaker has two production plants with a combined capacity of 31 lakh units on the BengaluruMysuru state highway,23-03-2020,10:45:09,https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LnRoZW5ld3NtaW51dGUuY29tL2FydGljbGUvY292aWQtMTktaG9uZGEtdG95b3RhLWF1dG9tYWtlcnMtc2h1dC1tYW51ZmFjdHVyaW5nLXVuaXRzLWluZGlhLTEyMDg4ONIBcGh0dHBzOi8vd3d3LnRoZW5ld3NtaW51dGUuY29tL2FydGljbGUvY292aWQtMTktaG9uZGEtdG95b3RhLWF1dG9tYWtlcnMtc2h1dC1tYW51ZmFjdHVyaW5nLXVuaXRzLWluZGlhLTEyMDg4OD9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
16,COVID-19: FMCG firms reduce hand sanitiser prices as per govt's order,FMCG companies have reduced the prices of hand sanitizers following the government directive and have also increased their production to meet the sudden spike in demand amidst the COVID19 scare HUL sells hand sanitisers under Lifebuoy brand Our aim is to make PureHands Hand Sanitizers available to as many people as possible said The Himalaya Drug Company CEO Philipe Haydon Dabur which is a new entrant in the hand sanitizers segment has also reduced the prices of hand sanitizers In line with the Government notification Dabur India Ltd has already reduced the prices Dabur Sanitize Hand Sanitisers in the online retail space by offering discounts to consumers,,,https://news.google.com/articles/CAIiEJZtUFkNfI9rXOhwTLAH2z0qGQgEKhAIACoHCAowouTcCjDl8M4BMJjvvQY?hl=en-IN&gl=IN&ceid=IN%3Aen
17,"HUL, ITC, Godrej make soaps, hand sanitiser cheaper; Lifebuoy, Savlon, Protekt get affordable again",Major players including Lifebuoy maker HUL  Savlon’s manufacturer ITC and Godrej Protekt have cut the prices recently FMCG companies such as HUL ITC Godrej have moved fast to reduce the prices of hand sanitizers and soaps in the wake of coronavirus Major players including Lifebuoy maker HUL Savlon’s manufacturer ITC and Godrej Protekt have cut the prices recently HUL also said that it has increased the production of its Lifebuoy hand sanitizers and liquid hand washes in the wake of rising demand The government had earlier declared hand sanitizers and masks “essential commodities”,23-03-2020,11:04:57,https://news.google.com/articles/CAIiEPM8M6xIU8Mndte6whVVWJgqGQgEKhAIACoHCAow55veCjDzvdUBMOW45gU?hl=en-IN&gl=IN&ceid=IN%3Aen
18,Coronavirus pandemic | FMCG cos ramp up production to meet rising demand,Fast moving consumer goods FMCG companies are increasing production to keep up with rising demand as consumers rush to buy essential groceries on account of the coronavirus outbreak The Economic Times reported FMCG majors such as Hindustan Unilever ITC Parle Amul and Godrej Consumer Products GCPL have raised production the report said This is a sea change from last year when companies were reducing production due to lower demand The Centre has advised companies to close factories to contain the spread of COVID19 but have permitted production of groceries pharmaceuticals and hygiene products We want to ensure we don’t go out of stock at any point of time” Mayank Shah Category Head at Parle Products told the publication,,,https://news.google.com/articles/CAIiEF0PTk80160XhWHkbhv-beQqGQgEKhAIACoHCAowlbCPCzCrzaIDMLL1zQY?hl=en-IN&gl=IN&ceid=IN%3Aen
19,Share market update: FMCG shares trade lower; ITC falls 13%,NEW DELHI FMCG shares were trading lower in Mondays session The Nifty FMCG index was trading 1036 per cent down at 232453 around 1231 pm Benchmark NSE Nifty50 index was down 102550 points at 771995  while the BSE Sensex was down 358939 points at 2632657 Among the 50 stocks in the Nifty index 1 were trading in the green while 49 were in the red Shares of Vodafone Idea YES Bank Ashok Leyland SBI ITC ICICI Bank IDFC First Bank Ltd Tata Motors and Axis Bank were among the most traded shares on the NSE,23-03-2020,12:28:00,https://news.google.com/articles/CAIiEEoiuO-9OrgY6Nj3dubQKT8qGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
20,"Vodafone idea share price: Buzzing stocks: Vodafone Idea, YES Bank, HDFC Bank , HDFC",NEW DELHI Vodafone Idea with over 045 crore shares changing hands was leading among the most traded stocks on NSE on Monday Shares of GTL Infra number of shares traded 030 crore YES Bank number of shares traded 016 crore Reliance Comm number of shares traded 014 crore SBI number of shares traded 010 crore JP Power number of shares traded 010 crore ONGC number of shares traded 008 crore Ashok Leyland number of shares traded 007 crore Federal Bank number of shares traded 006 crore and Suzlon Energy number of shares traded 006 crore also featured among the most traded stocks on the NSE HDFC Bank Rs 4136 crore was leading the pack of most active stocks in value terms It was followed by HDFC Rs 2547 crore Infosys Rs 2093 crore SBI Rs 1904 crore RIL Rs 1901 crore TCS Rs 1143 crore Maruti Suzuki Rs 820 crore ICICI Bank Rs 792 crore ITC Rs 700 crore and Bharti Airtel Rs 682 crore The NSE Nifty index was trading 75755 points down at 798790 while the BSE Sensex was down 260003 points at 2731593 around 0917 am,23-03-2020,09:00:00,https://news.google.com/articles/CAIiEKuMqibhrd0bS3h6M9qbBxEqGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
21,"SBI, ICICI Bank, and HDFC Bank revise banking hours and services to fight Coronavirus outbreak",Many private sector banks in India revised their business hours to between 1000am to 200pm till March 31 to fight the Coronavirus pandemic Public sector banks will still be open as usual but certain nonessential services like passbook updates may no longer be available till March 31 Banks across the board are cutting down on their staff and allowing employees to take leave without wagecuts if they exhibit symptoms HDFC BankICICI BankCash deposits and withdrawalsClearing of chequesRemittancesGovernment transactionsThis week some of the biggest banks India have decided to trim down on nonessential services — like passbook updates and overthecounter cheque collection — to encourage their customers to stay at home until March 31 Many are also encouraging their staff to take leave if should they exhibit any symptoms without any cut in salaryWhile banks can’t shut down amid the Coronavirus pandemic since banking is an essential service these new steps have been taken to help with social distancing in order to limit the spread of the infection,,,https://news.google.com/articles/CBMioQFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuaW4vZmluYW5jZS9uZXdzL3NiaS1pY2ljaS1iYW5rLWFuZC1oZGZjLWJhbmstcmV2aXNlLWJhbmtpbmctaG91cnMtYW5kLXNlcnZpY2VzLXRvLWZpZ2h0LWNvcm9uYXZpcnVzLW91dGJyZWFrL2FydGljbGVzaG93Lzc0NzY2NjU2LmNtc9IBpQFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuaW4vZmluYW5jZS9uZXdzL3NiaS1pY2ljaS1iYW5rLWFuZC1oZGZjLWJhbmstcmV2aXNlLWJhbmtpbmctaG91cnMtYW5kLXNlcnZpY2VzLXRvLWZpZ2h0LWNvcm9uYXZpcnVzLW91dGJyZWFrL2FtcF9hcnRpY2xlc2hvdy83NDc2NjY1Ni5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen
22,Eight of Top-10 Most-Valued Firms Witness Combined Erosion of Rs 3.63 Lakh Crore in M-Cap,HDFC Banks valuation tumbled Rs 10347028 crore to Rs 48372015 crore Valuation of Reliance Industries Ltd RIL eroded by Rs 5496145 crore to Rs 64673207 crore and that of HDFC dropped by Rs 5447915 crore to Rs 30372213 crore The market cap of Kotak Mahindra Bank tumbled Rs 3962631 crore to Rs 24161145 crore and that of Infosys tanked Rs 2438212 crore to Rs 24912350 crore Likewise Bharti Airtels valuation diminished by Rs 1762145 crore to Rs 25199219 crore and that of Tata Consultancy Services TCS declined by Rs 348972 crore to Rs 67467877 crore In contrast ITC which last week reentered the top10 list of companies by market valuation added Rs 1636712 crore to Rs 21579012 crore,22-03-2020,15:42:16,https://news.google.com/articles/CAIiEPkLEx2Q8JjLWC8ZR6TKlOMqGQgEKhAIACoHCAow5qqNCzD4q58DMJahzgY?hl=en-IN&gl=IN&ceid=IN%3Aen
23,"No comparison between Yes Bank events with ICICI Bank case, says whistle-blower Arvind Gupta",Arvind Gupta the 65yearold whistleblower who exposed the ICICI BankVideocon quidproquo deal in 2016 thinks there is no comparison between the Yes bank scam and the ICICI Bank case The ICICI Bank case involved its former CEO Chanda Kochhar her husband Deepak Kochhar and Videocon Group’s Venugopal Dhoot But the way the Yes Bank problem has been handled by the government very prudently I’m very happy Q How do you compare Yes Bank events with the ICICI Bank case In the ICICI Bank case I was a shareholder,,,https://news.google.com/articles/CAIiEKliyOqHgOivwAmAjHvN34kqGQgEKhAIACoHCAowlbCPCzCrzaIDMOjUrgY?hl=en-IN&gl=IN&ceid=IN%3Aen
24,Gold Prices Fall as Investors Stockpile Cash Amid National Coronavirus Lockdowns,Bengaluru Gold prices fell on Monday as investors stockpiled cash with a rising numbers of coronavirusled national lockdowns threatening to overshadow stimulus measures from global central banks to combat the economic damage Spot gold slipped 02 to 149463 per ounce by 0320 GMT after rising as much as 31 in the previous session on a wave of stimulus Another concern is the possibility of central banks having to sell gold to buy dollars as the greenback continues to strengthen he added Asian shares sank as a rising tide of lockdowns threatened to overwhelm policymakers frantic efforts to cushion what is likely to be a deep global recession The US Federal Reserve continued to roll out emergency support on Friday as it enhanced efforts with other major central banks to ease a global dollarfunding crunch,23-03-2020,11:36:55,https://news.google.com/articles/CAIiEJj7MDbx1IZdziR-roiirsQqGQgEKhAIACoHCAow5qqNCzD4q58DMJahzgY?hl=en-IN&gl=IN&ceid=IN%3Aen
25,Coronavirus effect: Gold falls as cash dash overwhelms stimulus measures,Physical demand for gold jumped last week in Singapore as buyers took advantage of a recent slide in prices after investors dumped the metal to raise cash Photo ReutersGold prices fell on Monday as investors liquidated their positions in the safehaven metal despite stimulus measures from global central banks to combat economic damage from the coronavirus outbreak Spot gold fell 07 per cent to 148783 per ounce by 0101 GMT The metal rose as much as 31 per cent on Friday as a wave of fiscal and monetary stimulus from central banks across the globe halted a run for cash Physical demand for gold jumped last week in Singapore as buyers took advantage of a recent slide in prices after investors dumped the metal to raise cash,23-03-2020,08:06:03,https://news.google.com/articles/CBMigwFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L2Nvcm9uYXZpcnVzLWVmZmVjdC1nb2xkLWZhbGxzLWFzLWNhc2gtZGFzaC1vdmVyd2hlbG1zLXN0aW11bHVzLW1lYXN1cmVzLTE2NTg1NzgtMjAyMC0wMy0yM9IBhwFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9jb3JvbmF2aXJ1cy1lZmZlY3QtZ29sZC1mYWxscy1hcy1jYXNoLWRhc2gtb3ZlcndoZWxtcy1zdGltdWx1cy1tZWFzdXJlcy0xNjU4NTc4LTIwMjAtMDMtMjM?hl=en-IN&gl=IN&ceid=IN%3Aen
26,"Gold falls as cash dash, strong dollar override stimulus",Freshly cast gold ingot bars sit in the foundry at the JSC Krastsvetmet nonferrous metals plant in Krasnoyarsk Russia on Tuesday Nov 5 2019 Gold prices fell on Monday as investors stockpiled cash with a rising numbers of coronavirusled national lockdowns threatening to overshadow stimulus measures from global central banks to combat the economic damage Spot gold slipped 02 to 149463 per ounce by 0320 GMT after rising as much as 31 in the previous session on a wave of stimulus Another concern is the possibility of central banks having to sell gold to buy dollars as the greenback continues to strengthen he added The US Federal Reserve continued to roll out emergency support on Friday as it enhanced efforts with other major central banks to ease a global dollarfunding crunch,23-03-2020,02:51:02,https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDMvMjMvZ29sZC1tYXJrZXRzLWNvcm9uYXZpcnVzLXN0aW11bHVzLW1lYXN1cmVzLWluLWZvY3VzLmh0bWzSAVxodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMC8wMy8yMy9nb2xkLW1hcmtldHMtY29yb25hdmlydXMtc3RpbXVsdXMtbWVhc3VyZXMtaW4tZm9jdXMuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
